,Date,Pptn,avg_temp,ET,streamflow_mm
67,1985-08-31,538.1070692249382,27.293198924731183,73.0948733864352,303.2765631848013
68,1985-09-30,391.30721872109217,27.08932638888889,76.36795984581113,283.8374447035211
69,1985-10-31,275.4978317617075,25.230759408602147,94.79920542798936,252.3438200509064
70,1985-11-30,0.0,22.08901388888889,84.01298476383091,22.203974744400803
71,1985-12-31,0.0,20.113286290322574,58.91999343875796,7.917787598410529
72,1986-01-31,36.49325352693261,18.898864247311835,53.196747181937106,6.823726658760582
73,1986-02-28,28.79073785280003,22.189017857142854,43.465381907299154,4.679064197252903
74,1986-03-31,19.09570176684036,26.703434139784946,31.703371927142143,2.8288492590438707
75,1986-04-30,65.44923443871183,29.938125,51.70941073447466,2.536793997275071
76,1986-05-31,105.99230060254034,29.78916666666667,69.38715926371515,8.230376438310513
