,Date,Pptn,PET,S,G,ET,streamflow_mm
171,1994-04-30,59.17757927817051,350.26482206249995,223.07850784725613,579.4722107781304,46.4531056350097,1.4412378941689683
172,1994-05-31,99.55482388897622,382.83489118125,219.04471776818718,561.8125261696434,54.78268750011921,2.980757866189144
173,1994-06-30,371.4873347451966,180.679935234375,252.82310178544785,578.1543084886339,68.02514777518809,94.92294395304714
174,1994-07-31,448.47610680532483,92.03225489648442,298.3543216951432,705.1806291149509,60.2493752259761,233.56107832687772
175,1994-08-31,369.90133445165435,94.536097565625,351.6379914027388,876.5982745591031,67.792884609662,304.1890116033105
176,1994-09-30,223.86125596519608,122.5926748125,389.5410401662191,997.9482089572484,78.58822541311383,170.83837327582384
177,1994-10-31,48.740083144382275,150.57902613515625,352.10439948625464,941.3331696705156,84.36279154848306,29.16794773534864
178,1994-11-30,10.056664976789321,151.826922703125,332.40981659359403,893.1710338168674,73.73512233607471,11.910671446852364
179,1994-12-31,0.0,174.08693489765622,290.272574886199,793.0088138375232,56.553503265604384,5.957628307392286
180,1995-01-31,49.712420552485206,189.697870940625,263.8323126762144,711.816067357217,45.63824184006079,6.347467259193577
181,1995-02-28,15.330082095302393,217.86828879375,248.10106586274642,660.5260742732456,42.485540360212326,3.728040561575046
182,1995-03-31,14.014058006454325,321.2686094203125,232.88030638746037,621.7300469593338,41.352096875198185,2.979761090551708
183,1995-04-30,10.892474646650676,364.53686765625,214.46755835215257,577.7497489081491,22.73571642581373,1.3792384495204386
184,1995-05-31,248.73348625675587,354.550885171875,214.5426467157179,548.1591444528232,42.06142810871825,48.71232572394222
185,1995-06-30,126.61091777562879,264.87535232812496,222.39922478993736,541.8846133761937,51.013374351896346,9.402983298190431
186,1995-07-31,196.74341005786948,130.014952959375,262.55139816448246,593.8930788347798,71.12367628142238,46.447751153250984
187,1995-08-31,354.9167260742229,116.892969159375,291.27242719998924,704.3603535313762,72.72508351597935,196.2820681970197
188,1995-09-30,309.48815089635286,107.5950900703125,334.6195627212525,826.7064070807565,78.65820592269301,161.9481313655306
189,1995-10-31,117.1623792676721,129.60768118359374,343.94805932814074,895.2553998065248,84.11506104748695,72.87526362859634
190,1995-11-30,146.0866516972716,142.60108725,336.5343062506781,891.4037434048124,80.48490970395505,83.77032037846499
191,1995-12-31,2.300307174841685,172.4123594601563,297.42976067655826,810.326570162209,68.51503564976156,12.158569547882745
192,1996-01-31,16.037189946893836,180.47046448828124,271.17157991470816,728.756154542328,57.77346035465598,8.841499581622633
193,1996-02-29,9.784280420730546,231.291936,247.14966714793243,668.6381002842694,46.46499578375369,5.997599010453478
194,1996-03-31,65.54439011561847,316.3282561546875,225.4980860884472,614.8800710452499,30.880150012671947,3.7537573730209
195,1996-04-30,42.51309247535805,357.0524423437501,217.4554488076104,571.825228076511,40.494326851330705,2.1408747140854207
196,1996-05-31,47.661653941435006,403.39775266874994,213.21891382689117,548.0015013089745,43.547629227396094,2.4190747944938584
197,1996-06-30,360.14549162023116,238.05063928125,239.47285215589733,552.9245412614608,67.76193506084383,98.3034088498482
198,1996-07-31,226.88467453283081,133.61218867265623,276.96168343738844,651.4559267105594,75.22917143069208,90.94112431418085
199,1996-08-31,339.5893911120235,112.2795938671875,318.1259764394453,775.1498803579682,75.9397596353665,236.37736821288985
200,1996-09-30,76.73662578689068,124.092937828125,323.9976623323229,840.2907762315538,76.64921460673212,59.40005314122415
201,1996-10-31,41.81630925132581,146.24053733671875,311.5398231629403,815.887059447586,88.15278369002044,24.79688721006352
202,1996-11-30,3.8983915793021713,179.1194607421875,277.1037320454915,758.0495357089573,80.08703542873262,7.835254575630814
203,1996-12-31,0.056106835572927005,179.94294654609374,249.1396314559444,676.9138972374702,50.94704814255238,4.520576870900552
204,1997-01-31,26.30840112324457,192.56285785781247,239.8080125419043,628.6485065747331,45.9732132847421,3.666140794490259
205,1997-02-28,6.134228258090057,237.07463889375,226.43905389876588,597.3885014397757,33.32917531952262,2.191211883775948
206,1997-03-31,50.612305582955436,308.55239668125,216.14366145800514,566.3833808488743,28.252196847461168,3.5945723037223414
207,1997-04-30,105.73469377247466,327.999915421875,220.6026743782891,554.0577129787869,45.4665954457596,8.138673079666386
208,1997-05-31,63.07163538160749,374.33373066562507,220.35846665085,547.2179369772633,72.11410459131001,4.09545206153402
209,1997-06-30,351.3734758880849,265.92066745312496,225.53995399475102,543.8003974490697,65.57975267060101,72.86220586774593
210,1997-07-31,307.5974133739044,122.096247665625,265.9731069790419,601.3779373168945,68.92728970851749,96.92656266185759
211,1997-08-31,471.17661664040253,121.38476431640623,342.5741614475046,808.9777088780559,88.48852815572172,300.24875750852533
212,1997-09-30,227.6619466854902,117.03660890625,391.48688078986265,997.0390579223634,82.77238346636295,121.74218925390494
213,1997-10-31,70.3587364408544,145.32567933515625,373.99047695693145,983.9417406307753,86.65069341659546,56.923863102705184
214,1997-11-30,37.709368783995316,147.581545640625,335.3317797342936,902.3074553595646,69.55308909527957,21.9713273106232
215,1997-12-31,55.835718184421395,153.19546132500002,302.3134811975624,815.2693676692182,47.37873764242977,14.267746796697695
216,1998-01-31,92.52315579937333,183.881722725,273.3705144492529,737.3045571440014,40.728096768725656,17.910762396399434
217,1998-02-28,16.23430688053905,209.0532425625,260.2201989718846,685.8197686331613,50.92088654637337,11.059325374918132
218,1998-03-31,72.38976971471386,293.6209065046875,248.09734008132762,653.3278427944388,60.56116903200746,6.867086398989056
219,1998-04-30,69.09446329927903,345.58340934375,229.9993419859144,611.0639199150933,54.38776826485992,5.257891809912089
220,1998-05-31,104.71973757857168,383.3306384343751,233.20500334872997,600.4854491859354,87.8322138218209,5.6013806945725975
221,1998-06-30,155.79622590086382,273.415506328125,234.29101058112252,583.6053655412462,76.02532440796493,9.416938157114542
222,1998-07-31,216.3257793692387,136.27910346328122,282.58940179886366,656.1036221083775,84.12533767987044,30.582571719998068
223,1998-08-31,172.72817134487912,121.74200114765623,312.0850056884109,767.0255160588089,80.18078680615871,39.8198909072466
224,1998-09-30,262.59146313891404,120.1744799296875,349.2613620334202,887.9998323228625,85.46605473384261,125.56482382347265
225,1998-10-31,149.65225031240826,122.16471361171877,353.99687047158517,929.9984554988083,78.6924809915945,64.43556430642424
226,1998-11-30,54.23415868008286,137.53235025,336.3379287295872,896.8407758924698,75.19886665977538,43.75546015653588
227,1998-12-31,0.0,172.47705694453126,300.93806886160235,817.2022491783223,68.03715925198047,8.776509810061794
228,1999-01-31,0.0,208.68491514375,268.04508576341857,729.5704860071984,53.112916625104845,5.0365079408375175
229,1999-02-28,0.0,260.17610889375,242.12133180527462,662.156103679112,39.702069154009216,2.6350760751262783
230,1999-03-31,0.8627582742627783,337.07300428125,221.1789214021416,605.68216758646,23.345192580018196,1.3201296542204732
231,1999-04-30,15.59185508797102,371.63685178125,211.91656246185303,562.4560989379883,13.798583939205857,0.7656233671147273
